[2024-03-15 00:02:33,781: INFO/MainProcess] beat: Starting...
[2024-03-15 00:04:52,951: INFO/MainProcess] beat: Starting...
[2024-03-15 00:12:01,261: INFO/MainProcess] beat: Starting...
[2024-03-15 00:12:06,275: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:11,272: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:16,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:21,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:26,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:31,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:36,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:41,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:46,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:51,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:12:56,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:13:01,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:13:06,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:13:11,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:13:16,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:13:21,273: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:13:26,274: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:13:31,274: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:14,534: INFO/MainProcess] beat: Starting...
[2024-03-15 00:14:14,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:19,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:24,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:29,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:34,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:39,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:44,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:49,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:54,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:14:59,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:04,556: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:09,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:14,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:19,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:24,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:29,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:34,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:39,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:44,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:49,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:54,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:15:59,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:04,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:09,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:14,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:19,557: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:24,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:29,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:34,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:39,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:44,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:49,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:54,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:16:59,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:04,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:09,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:14,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:19,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:24,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:29,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:34,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:39,558: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:44,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:49,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:54,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:17:59,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:04,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:09,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:14,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:19,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:24,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:29,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:34,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:39,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:44,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:49,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:54,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
[2024-03-15 00:18:59,559: INFO/MainProcess] Scheduler: Sending due task run-periodic-task-every-5-seconds (c_task.my_periodic_task)
